measures_1,measures_2,measures_3,measures_4,measures_5,measures_6,measures_7,components_1,components_2,components_3,components_4,components_5,components_6,components_7,components_8,components_9,components_10,components_11,solution_1,solution_2,solution_3,solution_4,solution_5,solution_6,solution_7,solution_8,solution_9,solution_10,solution_11,fitness,solution_difference_1,solution_difference_2,solution_difference_3,solution_difference_4,solution_difference_5,solution_difference_6,solution_difference_7
355.94955892176756,342.13559449167525,318.9792519687404,297.5327683253683,145.10766625733729,130.54080322834804,135.47997756761845,16.97925824113517,3.9520600101004963,4.1207908249652485,1.037513538468094,0.6274705263571462,-2.399802826157503,0.11285943691231091,1.172228371857646,-0.22487979230345462,1.7506143999526416,368.15267527307617,-0.6448110329811603,-1.7629339989878627,1.7067445892758126,1.168809296598159,-0.8008153670416887,-2.8786435727619804,-2.8277749137040136,-2.0099819733479114,-0.02170410545359136,-2.083539086803489,2.194971148560553,-0.00014515050618530676,8.511702866721464,2.9658609885803457,0.8280850954733978,0.44015353214746256,0.8322148847156257,2.1714418340001203,0.963486177704965
313.2628155814801,295.60083414689365,278.3701203806015,251.63664382728373,93.62197924517359,102.99120538564767,105.52153569573471,-12.60444431066038,-0.5299200430477362,5.388471040793483,4.057111489498758,-0.12651972211981213,-2.516400999768692,-0.08717797801387518,-0.04940651138801296,0.7159555301063708,0.0618070087068228,360.26776813142396,-1.3558839641604443,2.4954728360010296,-2.7549946049142875,2.3762729945073406,-0.9065170112103962,1.693796540802433,-1.069129880186929,2.259520511682905,2.4457706013036233,-1.2247825203977927,-1.4085589163386252,-0.00032790762591222694,3.1967174677391768,1.5189854798507554,0.44297017819326356,0.5714413698885892,0.3781338476873657,0.9171583121386107,4.791083476129415
370.4244492605986,355.8282777425358,337.88705986697227,310.6885096653628,127.08099780107045,131.34482266889236,134.7975733036494,1.08178932988802,10.368909690712407,0.6994461512828322,3.818285949991172,-1.5964020794002778,-0.42728789782237325,1.1277579857309201,1.0327216578660863,0.3889633606141588,-0.2504877046980251,386.9154817312627,-0.5573130174236658,1.0075534397648873,0.6467488576865756,1.4536352787710136,0.5491147958209064,-2.117299760464898,0.33530062046358156,-0.05012175142104747,1.694288329196544,0.30356283901923664,-0.15339912630648378,-5.200407033790958e-05,2.6623895754194677,0.1207487973342154,1.298502443554412,0.19905891439634615,1.3770512867385207,1.7590653155203881,0.07272598541177899
374.1932207392358,362.4993421764519,336.7050276204065,305.84459113932274,131.50396885547121,130.4274489474902,138.17636651074756,5.025416387797062,8.458610939849601,1.0982193521392065,0.017542518338299597,-0.6062940766211595,-0.522590551355985,-0.9883913602626575,2.2051229152577334,0.8718039657071412,-1.0104974983873085,384.064764862442,-0.142502967089575,0.7163273542204314,-1.1655853732708157,-0.05257130053338077,-2.7483195094675112,0.7929281597967823,-1.4230208875166621,0.6660366891345273,0.9887003305729136,0.3840777414408185,1.0399806079263927,-0.0001823852838274383,4.3315547809811505,0.7338766550283253,0.18299839333388945,7.426102039613795,2.7293201309738606,0.9592830043174843,1.1045961954391146
295.7531941688028,289.58434304532557,290.09770508418956,285.05697392562195,86.97457649724791,104.02088362415577,106.29101405251575,-16.970813736075637,-5.312724112931573,1.3636473733875052,-0.49046420686969305,3.732727839663871,1.4246186824127263,1.906195668835582,-1.5306633433054906,0.005552261331234726,1.0595103277135736,390.68923736500795,-0.9340018279146234,-1.5342881478017893,1.5835912011345465,-1.9676092587528136,-1.037713823508375,0.47329860546659397,1.3646324750001826,-2.1808699410468746,-2.611084093803356,0.41499910232609105,-1.8856494237895192,-0.0001501391226852948,6.9277532904511645,0.5064695595503395,1.6609062549836153,1.6575796498943873,0.8133733072073284,1.4826747273901617,1.2666520719750736
350.9680656070169,344.138512560033,336.7185322688477,325.62970124729355,179.63647403230146,139.1909822201674,148.16859357674747,23.105116097735166,-5.581907292405348,4.531912208543134,-1.0624665824337818,3.9481387491599187,1.4266454045896355,3.3287428957947482,0.4354961238516761,0.9741353123877703,-1.1609679097958876,422.35559536259825,2.5871198046778368,-0.027315807802675174,1.4846934813667723,-1.973900563967693,2.7115231104336806,-0.9269446066137585,1.9464621602517624,-1.1245996576104027,1.757110073565043,-0.9241132031931016,-2.1736894798495183,-6.673252547327433e-05,5.725458052131614,0.2434768173019961,2.256589207958939,3.399821997932577,0.11956466803150079,0.2441000296762752,0.9723009255883426
354.4608484615278,347.2419874460934,329.25086839444504,312.49988863801883,126.46963851185544,125.31139938508332,133.36846307906302,5.2774299260681685,4.4720066343812706,3.791310324052607,-1.9862863096915202,6.390184401696153,-1.1545611400498903,-0.5167757883545702,1.084924172427924,0.004337231258097418,1.0075890170694939,362.3362242642602,0.6541519433053447,-0.3557140355601516,2.205733353324713,-1.9160043536606715,-2.674596703086198,-2.418702835654659,-0.8154982837498834,0.868926022920685,-2.857503538399998,0.3563300044142492,-1.5221218735830164,-4.4100349628064484e-05,2.0034193183878415,1.0080552059760635,3.723403841386414,1.0851491547361434,0.41330695711894805,1.3115504884870006,0.3809836348835347
376.31318828635887,354.6896426761458,332.8814115996899,314.5649688648257,198.99067820199798,149.75527793203872,155.05165621862,32.15668920571866,1.3613577245070565,2.6894461834227807,4.3104290244241845,-0.39030885813461935,-1.1014669836149589,2.210947754491957,0.3545272196704796,-0.48996683890837717,1.2522655595238263,423.9894427954035,2.785733606718323,-0.25466800301875914,-0.4537378621060082,-1.0634712223413894,-2.961956892453572,1.8407389726048926,1.1724084721595807,1.0483991338547405,1.013226576452972,0.636549511448723,0.07558614617116222,-0.0001309802701380684,6.015712600663562,5.571354352057199,1.292473083907737,0.5933518056846196,0.5157556520054811,2.0649977521138396,2.1877630387126317
378.93071100801694,368.8741514199322,354.7270764208292,327.23833093518033,103.5299299080299,132.9335786279537,133.25885529608541,-11.274268493226728,3.7185930660721342,3.7584824394091294,-0.5368848732890782,1.0015857584573225,-3.401368088968818,0.5043137185494554,-0.6271546598977153,0.5421784044300564,1.278388723213005,402.6467151650447,-0.8585300190376564,-0.5936901937619918,0.8578638628755408,-1.779543911972141,-2.647143881764446,-1.9194122979792854,-0.7097073096970115,-0.7542296389827641,2.5483845632547393,0.8505975455309995,0.45747759656933695,-6.990217929948575e-05,3.4496758297214,4.225466214384369,1.5382412337846745,4.043242917598604,0.8664061726115904,0.7485529708658873,0.188947533959265
328.2001189535063,309.0237578284742,284.6087140323847,260.62244023675095,140.59304619428747,122.4764392284732,129.56719914492527,11.39578137797266,-3.036385137219261,-0.9391121645126135,1.9210895089922424,-2.884211684688697,-2.251600751223974,-0.8401943273556397,0.2679627757105931,1.6733366630683413,2.253563986946404,407.8124958759484,1.4461110030901265,0.024272870711410377,0.011019143771152429,-1.827254572485206,-0.7103799628482035,-2.768671130777989,-1.2018386282893874,1.052405777120084,0.6616086432905535,-0.05467117757762807,-2.3823325417632644,-0.0003937413304121587,13.492486079226694,4.473198893124504,4.205348936140524,1.388226206123079,1.958364529346909,2.2352976112032366,1.1787111827547392
